tripduration,starttime,stoptime,start_station_id,name,start_station_latitude,start_station_longitude,end_station_id,direction,end_station_latitude,end_station_longitude,bikeid,usertype,birthyear,gender
226,8/1/2014 6:55,8/1/2014 6:59,72,W 52 St & 11 Ave,40.76727216,-73.99392888,423,W 54 St & 9 Ave,40.76584941,-73.98690506,21437,Subscriber,1981,1
425,8/1/2014 6:59,8/1/2014 7:06,72,W 52 St & 11 Ave,40.76727216,-73.99392888,499,Broadway & W 60 St,40.76915505,-73.98191841,18255,Subscriber,1969,1
